FID,State_LGD,DISTRICT_L,District_1,STATE
517,27,481,LATUR,MAHARASHTRA
518,12,234,LOHIT,ARUNACHAL PRADESH
519,12,235,LOWER DIBANG VALLEY,ARUNACHAL PRADESH
520,3,36,LUDHIANA,PUNJAB
521,10,205,MADHEPURA,BIHAR
522,10,206,MADHUBANI,BIHAR
523,36,512,MAHABUBNAGAR,TELANGANA
524,9,164,MAHARAJGANJ,UTTAR PRADESH
525,6,69,MAHENDRAGARH,HARYANA
526,19,316,MALDAH,WEST BENGAL
527,3,37,MANSA,PUNJAB
528,36,692,SIDDIPET,TELANGANA
529,6,604,MEWAT,HARYANA
530,3,38,MOGA,PUNJAB
531,13,250,WOKHA,NAGALAND
532,3,39,SRI MUKTSAR SAHIB,PUNJAB
533,27,482,MUMBAI CITY,MAHARASHTRA
534,10,207,MUNGER,BIHAR
535,19,319,MURSHIDABAD,WEST BENGAL
536,10,208,MUZAFFARPUR,BIHAR
537,19,320,NADIA,WEST BENGAL
538,27,484,NAGPUR,MAHARASHTRA
539,10,209,NALANDA,BIHAR
540,36,514,NALGONDA,TELANGANA
541,27,485,NANDED,MAHARASHTRA
542,27,486,NANDURBAR,MAHARASHTRA
543,27,487,NASHIK,MAHARASHTRA
544,10,210,NAWADA,BIHAR
545,3,40,SHAHID BHAGAT SINGH NAGAR,PUNJAB
546,36,516,NIZAMABAD,TELANGANA
547,19,303,NORTH TWENTY FOUR PARGANAS,WEST BENGAL
548,27,488,USMANABAD,MAHARASHTRA
549,27,665,PALGHAR,MAHARASHTRA
550,6,619,PALWAL,HARYANA
551,6,70,PANCHKULA,HARYANA
552,6,71,PANIPAT,HARYANA
553,12,237,PAPUMPARE,ARUNACHAL PRADESH
554,27,489,PARBHANI,MAHARASHTRA
555,10,211,PASHCHIMI CHAMPARAN,BIHAR
556,19,318,PASCHIM MEDINIPUR,WEST BENGAL
557,3,662,PATHANKOT,PUNJAB
558,3,41,PATIALA,PUNJAB
559,10,212,PATNA,BIHAR
560,5,53,PITHORAGARH,UTTARAKHAND
561,27,490,PUNE,MAHARASHTRA
562,10,213,PURBI CHAMPARAN,BIHAR
563,10,214,PURNIA,BIHAR
564,19,321,PURULIYA,WEST BENGAL
565,27,491,RAYGAD,MAHARASHTRA
566,36,518,RANGAREDDY,TELANGANA
567,27,492,RATNAGIRI,MAHARASHTRA
568,6,72,REWARI,HARYANA
569,6,73,ROHTAK,HARYANA
570,10,215,ROHTAS,BIHAR
571,3,42,RUPNAGAR,PUNJAB
572,10,216,SAHARSA,BIHAR
573,10,217,SAMASTIPUR,BIHAR
574,27,493,SANGLI,MAHARASHTRA
575,3,43,SANGRUR,PUNJAB
576,10,218,SARAN,BIHAR
577,3,608,SAS NAGAR SAHIBZADA AJIT SINGH NAGAR,PUNJAB
578,27,494,SATARA,MAHARASHTRA
579,14,257,SENAPATI,MANIPUR
580,10,219,SHEIKHPURA,BIHAR
581,10,220,SHEOHAR,BIHAR
582,27,495,SINDHUDURG,MAHARASHTRA
583,6,74,SIRSA,HARYANA
584,10,221,SITAMARHI,BIHAR
585,10,222,SIWAN,BIHAR
586,27,496,SOLAPUR,MAHARASHTRA
587,6,75,SONIPAT,HARYANA
588,19,304,SOUTH TWENTY FOUR PARGANAS,WEST BENGAL
589,27,483,SUB URBAN MUMBAI,MAHARASHTRA
590,10,223,SUPAUL,BIHAR
591,14,258,TAMENGLONG,MANIPUR
592,3,609,TARN TARAN,PUNJAB
593,12,238,TAWANG,ARUNACHAL PRADESH
594,27,497,THANE,MAHARASHTRA
595,14,259,THOUBAL,MANIPUR
596,12,239,TIRAP,ARUNACHAL PRADESH
597,14,717,KAMJONG,MANIPUR
598,12,240,UPPER SIANG,ARUNACHAL PRADESH
599,12,241,UPPER SUBANSIRI,ARUNACHAL PRADESH
600,19,311,UTTAR DINAJPUR,WEST BENGAL
601,5,57,UTTARKASHI,UTTARAKHAND
602,10,224,VAISHALI,BIHAR
603,36,720,MULUGU,TELANGANA
604,27,498,WARDHA,MAHARASHTRA
605,27,499,WASHIM,MAHARASHTRA
606,12,242,WEST KAMENG,ARUNACHAL PRADESH
607,12,719,LOWER SIANG,ARUNACHAL PRADESH
608,6,76,YAMUNANAGAR,HARYANA
609,27,500,YAVATMAL,MAHARASHTRA
610,13,244,DIMAPUR,NAGALAND
611,13,245,KOHIMA,NAGALAND
612,13,614,KIPHIRE,NAGALAND
613,13,251,ZUNHEBOTO,NAGALAND
614,13,246,MOKOKCHUNG,NAGALAND
615,13,247,MON,NAGALAND
616,13,249,TUENSANG,NAGALAND
617,1,5,JAMMU,JAMMU AND KASHMIR
618,12,236,LOWER SUBANSIRI,ARUNACHAL PRADESH
619,13,615,LONGLENG,NAGALAND
620,14,714,NONEI,MANIPUR
621,14,715,PHERZAWL,MANIPUR
622,14,716,TENGNOUPAL,MANIPUR
623,14,712,KANGPOKPI,MANIPUR
624,14,711,KAKCHING,MANIPUR
625,6,701,CHARKHI DADRI,HARYANA
626,19,703,JHARGRAM,WEST BENGAL
627,19,704,PASCHIM BARDDHAMAN,WEST BENGAL
628,19,702,KALIMPONG,WEST BENGAL
629,36,695,JOGULAMBA GADWAL,TELANGANA
630,12,679,SIANG,ARUNACHAL PRADESH
631,12,243,WEST SIANG,ARUNACHAL PRADESH
632,12,725,SHI YOMI,ARUNACHAL PRADESH
633,12,724,LEPA RADA,ARUNACHAL PRADESH
634,12,723,PAKKE KESSANG,ARUNACHAL PRADESH
635,12,677,KRA DAADI,ARUNACHAL PRADESH
636,12,678,NAMSAI,ARUNACHAL PRADESH
637,12,718,KAMLE,ARUNACHAL PRADESH
638,36,699,KUMURAM BHEEM,TELANGANA
639,36,684,MANCHERIAL,TELANGANA
640,36,680,NIRMAL,TELANGANA
641,36,685,KAMAREDDY,TELANGANA
642,36,691,SANGAREDDY,TELANGANA
643,36,694,NAGARKURNOOL,TELANGANA
644,36,693,WANAPARTHY,TELANGANA
645,36,721,NARAYANPET,TELANGANA
646,36,698,VIKARABAD,TELANGANA
647,36,700,MEDCHAL MALKAJGIRI,TELANGANA
648,36,697,YADADRI BHUVANAGIRI,TELANGANA
649,36,696,SURYAPET,TELANGANA
650,36,509,KHAMMAM,TELANGANA
651,36,688,MAHABUBABAD,TELANGANA
652,36,689,JANGAON,TELANGANA
653,36,686,WARANGAL URBAN,TELANGANA
654,36,522,WARANGAL RURAL,TELANGANA
655,36,687,JAYASHANKAR BHUPALAPALLY,TELANGANA
656,36,682,PEDDAPALLI,TELANGANA
657,36,681,JAGTIAL,TELANGANA
658,36,683,RANJANNA SIRCILLA,TELANGANA
659,36,513,MEDAK,TELANGANA
660,12,232,EAST SIANG,ARUNACHAL PRADESH
661,12,666,LONGDING,ARUNACHAL PRADESH
662,33,610,ARIYALUR,TAMIL NADU
663,33,730,CHENGALPATTU,TAMIL NADU
664,33,568,CHENNAI,TAMIL NADU
665,33,569,COIMBATORE,TAMIL NADU
666,33,570,CUDDALORE,TAMIL NADU
667,33,571,DHARMAPURI,TAMIL NADU
668,33,572,DINDIGUL,TAMIL NADU
669,33,573,ERODE,TAMIL NADU
670,33,574,KANCHIPURAM,TAMIL NADU
671,33,729,KALLAKKURICHI,TAMIL NADU
672,33,575,KANYAKUMARI,TAMIL NADU
673,33,576,KARUR,TAMIL NADU
674,33,578,MADURAI,TAMIL NADU
675,33,587,NILGIRIS,TAMIL NADU
676,33,579,NAGAPATTINAM,TAMIL NADU
677,33,580,NAMAKKAL,TAMIL NADU
678,33,581,PERAMBALUR,TAMIL NADU
679,33,582,PUDUKKOTTAI,TAMIL NADU
680,33,583,RAMANATHAPURAM,TAMIL NADU
681,33,731,RANIPPETTAI,TAMIL NADU
682,33,584,SALEM,TAMIL NADU
683,33,585,SIVAGANGA,TAMIL NADU
684,33,588,TENI,TAMIL NADU
685,33,733,TENKASI,TAMIL NADU
686,33,586,THANJAVUR,TAMIL NADU
687,33,590,THIRUVARUR,TAMIL NADU
688,33,591,TIRUCHIRAPALLI,TAMIL NADU
689,33,592,TIRUNELVELI,TAMIL NADU
690,33,634,TIRUPPUR,TAMIL NADU
691,33,732,TIRUPPATTUR,TAMIL NADU
692,33,589,TIRUVALLUR,TAMIL NADU
693,33,593,TIRUVANNAMALAI,TAMIL NADU
694,33,594,TUTICORIN,TAMIL NADU
695,33,595,VELLORE,TAMIL NADU
696,33,596,VILLUPURAM,TAMIL NADU
697,33,597,VIRUDHUNAGAR,TAMIL NADU
698,33,577,KRISHNAGIRI,TAMIL NADU
699,38,465,DADRA & NAGAR HAVELI,DADRA NAGAR HAVELI DAMAN DIU
700,18,616,BAKSA,ASSAM
701,18,280,BARPETA,ASSAM
702,18,705,BISWANATH,ASSAM
703,18,281,BONGAIGAON,ASSAM
704,18,282,CACHAR,ASSAM
705,18,708,CHARAIDEO,ASSAM
706,18,612,CHIRANG,ASSAM
707,18,283,DARRANG,ASSAM
708,18,284,DHEMAJI,ASSAM
709,18,285,DHUBRI,ASSAM
710,18,286,DIBRUGARH,ASSAM
711,18,299,DIMA HASAO,ASSAM
712,18,287,GOALPARA,ASSAM
713,18,288,GOLAGHAT,ASSAM
714,18,289,HAILAKANDI,ASSAM
715,18,709,HOJAI,ASSAM
716,18,290,JORHAT,ASSAM
717,18,618,KAMRUP METRO,ASSAM
718,18,291,KAMRUP RURAL,ASSAM
719,18,292,KARBI ANGLONG,ASSAM
720,18,293,KARIMGANJ,ASSAM
721,18,294,KOKRAJHAR,ASSAM
722,18,295,LAKHIMPUR,ASSAM
723,18,706,MAJULI,ASSAM
724,18,296,MARIGAON,ASSAM
725,18,297,NAGAON,ASSAM
726,18,298,NALBARI,ASSAM
727,18,300,SIBSAGAR,ASSAM
728,18,301,SONITPUR,ASSAM
729,18,707,SOUTH SALMARA MANCACHAR,ASSAM
730,18,302,TINSUKIA,ASSAM
731,18,617,UDALGURI,ASSAM
732,18,710,WEST KARBI ANGLONG,ASSAM
